replicate,mean,median
63,-0.20163516812053411,0.13677400526161682
64,0.6919724552776781,0.11906751310536211
65,-0.7530093208357074,-0.4332093945823383
66,-0.07778517398500868,0.04245649280497978
67,0.6301736664640442,0.023452145694247372
68,0.2302538997634988,-0.24201088852584607
69,-0.22501270146404814,0.0004269212951458867
70,-0.1482078872482052,0.07106299072675204
71,0.4502948183595783,0.1823455994952441
72,0.5687567952930102,0.2578895981852456
73,0.24713765223105855,0.10137490592681785
74,0.8097046650545551,0.1546596142814064
75,0.6726148027065213,0.05033309386981637
76,0.714171728075103,0.06901133491514629
77,-0.21535651320999974,0.010091483965821896
78,0.44569890241142907,0.21809723309376855
79,0.14104449989821563,0.3126471565058584
80,-0.13433154319144172,0.2584925616528013
81,0.013535911941491735,0.06041002758487922
82,-0.28058548096084956,0.13123904633227967
83,-1.2534814400179284,-0.22707799907004705
84,0.629864668914271,0.044232880690989525
85,0.4804524107631572,-0.044720453347155215
86,0.38751302643892543,-0.3646927196959182
87,-1.0810466728157677,-0.07437411220053405
88,0.4878699159124643,0.06302822413179422
89,-0.5227600350387748,-0.250213424368232
90,0.4642707147697292,-0.03977141615442395
91,0.29645633673302074,0.16920511122805493
92,-0.6107470324796193,-0.14323158228802718
93,0.41503520290177337,0.15738096379805194
94,0.1156904953392103,0.24497115282133666
95,0.13767971892581332,-0.09598996310626112
96,-0.1534510373660384,-0.10297827577450054
97,-0.4311122098872795,0.01855884217694441
98,0.12547051225837524,-0.0632560761015564
99,-0.4976692244544967,-0.22512134016748822
100,0.1732508648984885,0.2398251715754604
101,0.5071514710162642,-0.07855954061096493
102,-0.5674239074836095,0.08247945845770133
103,0.2224406246419829,-0.02514759995159299
104,-0.6304789543726007,-0.15497663417509985
105,0.3269789590595162,-0.08555531357441847
106,0.2698391307458874,-0.1293611935549818
107,-0.2556288742588112,0.11137553085588461
108,-0.034123350748710576,0.14728065055480702
109,0.43254072990103526,-0.02541309896354507
110,0.4376010551185837,0.2230603730618454
111,-0.21487891158489936,-0.1231027380388098
112,-0.484679912484377,-0.28334666227477634
113,-0.08382563195384865,-0.1479126618064765
114,0.6193951401643947,0.364788856120325
115,0.014371552668712624,0.11508768431888329
116,0.7680261565196815,0.21907928660413922
117,0.4570905157443109,0.05763052102345783
118,0.4497209155843477,0.20379374995878835
119,0.7521809234630676,0.4485926902160236
120,0.41782539397505714,-0.14891513920103344
121,-0.0012814760295117129,-0.09948080457595068
122,-0.07400049601189132,-0.08849847047738846
123,0.013640077106292224,0.13156190017208808
124,-0.7134956355754922,-0.20817125472708375
125,0.08513497582183988,0.13471292069213212
126,0.524457305507874,0.35587316107463907
127,-0.4311927469649154,0.10068129989585542
128,-0.06242575706942026,0.027238212154334668
129,0.7522141187878725,0.2109815353763856
130,-0.21500593590653555,-0.023947077887811228
131,0.2002983406014777,-0.03030827618356744
132,-0.0556025139072669,0.10325115932534927
133,-0.43276054901164135,-0.11889136728973183
134,-0.46572175902817514,-0.16566584511791593
135,0.42652500229129786,0.35125296592457955
136,-0.4655215748488408,0.06220429970707765
137,-0.2913370589062433,-0.32699536961320447
138,0.19684464312180322,-0.10721459700804668
139,-0.14561968462774988,-0.1487532628146883
140,-0.2342744951186542,-0.004771651974980772
141,-0.23499071841573688,0.06453803338842701
142,-0.2625524258103937,0.23795829065782137
143,0.05353897706968484,0.11861875104784587
144,-0.7870479889651797,-0.19583346192868484
145,0.011864704764767815,-0.12951864529644885
146,-0.2834325648317336,-0.2969536192672816
147,0.49981911677290597,0.16019440011721559
148,-0.9887117628311386,0.10096380138127223
149,0.08843400666557893,0.041114922229207984
150,-0.21546025062758412,0.10196318607348862
151,0.09894338238594048,0.1556246703340339
152,-0.1042445520479921,-0.10157471054803383
153,0.7779479433677031,0.11604055038597519
154,0.029704702372608506,-0.051639331157041925
155,-0.328287770485127,-0.0038008002630748033
156,-0.7853770168650887,-0.20146680343684975
157,-0.4599163958951953,-0.016084239509610597
158,-0.20519455066220893,0.1066211268121107
159,-0.6033831480065247,-0.4081925376402527
160,-0.21486662793379568,0.04698983560133732
161,1.1953091064403547,0.06132064131233038
162,-0.2025493216695984,-0.10883657894874285
163,-0.08930172705028093,0.11449552142360014
164,-0.057428875302292716,0.1625149839634182
165,1.0471472987657686,0.2902707517965121
166,-0.1307710572867129,-0.06935535603368559
167,0.29041317371555037,0.3144208441018207
168,0.8505606758536848,-0.05698483589182683
169,-0.6576556119553113,-0.38288197630896303
170,-0.5937869562843708,-0.22443805663759034
171,0.36317518266114185,0.08489582417352365
172,-0.5823029913019452,0.11862033124270824
173,-0.1992011984575567,-0.08119727487669273
174,-0.01390492432158763,-0.22193217168200807
175,-0.010890520029928828,0.07193083457177955
176,1.012258669182645,0.25690610496191324
177,-0.17980332464607432,-0.024813634105996633
178,0.41867032705170426,0.37077613965817263
179,0.33689183411776535,-0.09787165059137565
180,-0.6967227463482072,-1.5767623295116556e-05
181,-0.5556150442599435,-0.04847614084859114
182,-0.580083023537609,-0.16882229336309262
183,1.1772107000802738,0.3135622562712149
184,0.5384547779312987,0.02067273126666462
185,1.0889820819429743,0.23363079540915965
186,-0.3151304633790231,0.10268987636410731
187,-0.5656423874557523,-0.01560378586462859
188,-0.4135865479879419,-0.03659287461313853
189,-0.14514831889850777,-0.1527598884956969
190,0.16214083476177568,0.01397113619676796
191,-0.25708777797609556,0.1463461859790123
192,-0.061692690392723376,-0.0445319750032213
193,-0.2966485312434105,0.1314592578958076
194,-0.13420173986587774,0.09541738399550687
195,0.19376992855019584,0.13920851648972485
196,0.7335568900960197,0.11880674722099199
197,-0.23887509397591444,-0.11551272788097328
198,-0.7024272747741268,0.21008783442864154
199,-0.04500555509912873,-0.2925582634771398
